Name,Ranking,Caffeine,Sugar,Notes,Type
Alani Nu Mimosa,7,200,0,tastes like orange juice,Energy Drink
PRIME Hydration Sticks Blue Raspberry,7,0,2,,Hydration Drink
Juvee Watermelon,7,127,0,tastes watery - artificial,Energy Drink
Celsius Green Apple Cherry,7,200,0,,Energy Drink
Alani Nu Cherry Twist,7,200,0,pretty much same as Cherry Slush,Energy Drink
Alani Nu Dream Float,7,200,0,accurate flavor,Energy Drink
PRIME Hydration Treasure Hunt (Blue),7,0,2,,Hydration Drink
GT Dave's Kombucha: Island Bliss,7,12,14,passionfruit aftertaste,Kombucha
Red Bull Wild Berry,7,114,38,,Energy Drink
Alani Nu Watermelon Wave,7,200,0,tastes like Jolly Rancher,Energy Drink
Celsius Spritz Vibe (Snowball Frost),7,200,0,,Energy Drink
ZOA Cherry Limeade,6.7,160,0,,Energy Drink
Celsius Retro Vibe: Sherbet Slush,6.7,200,0,,Energy Drink
Zevia Peach Passionfruit,6.7,120,0,"tastes healthy, neutral lean",Energy Drink
Red Bull Iced Vanilla Berry,6,114,0,,Energy Drink
PRIME Hydration Sticks Lemon Lime,6,0,2,,Hydration Drink
Red Bull Dragonfruit,6,114,38,not too sweet,Energy Drink
PRIME Energy Strawberry Watermelon,6,200,0,"not bad, but disappointing flavor",Energy Drink
Red Bull Juneberry,6,114,38,,Energy Drink
Celsius Lemon Lime,6,200,0,,Energy Drink
OLIPOP Root Beer,6,50,2,"weird smell, ok taste, empty feeling after",Soda
PRIME Hydration Grape,5,0,2,tastes like fake grape Tylenol,Hydration Drink
LIT Snow Cone,5,250,0,tastes artificial,Energy Drink
Bang Blue Razz (Super Creatine),4,300,0,"unremarkable flavor, DO NOT buy again",Energy Drink
